jarvis_0001|Compression in cylinder three appears to be low. For you, sir, always. Shall I store this on the Stark Industry Central Database? Working on a secret project, are we, sir? At your service, sir. Check. We'll do, sir.|Compression in cylinder three appears to be low. For you, sir, always. Shall I store this on the Stark Industry Central Database? Working on a secret project, are we, sir? At your service, sir. Check. We'll do, sir.
jarvis_0002|Congratulations on the opening ceremonies, they were such a success, as was your seventh hearing.|Congratulations on the opening ceremonies, they were such a success, as was your seventh hearing.
jarvis_0003|Another core has been depleted. I have run simulations on every known element, and none can serve as a viable replacement for the palladium core. You are running out of both time and options. Unfortunately, the device that's keeping you alive is also killing you.|Another core has been depleted. I have run simulations on every known element, and none can serve as a viable replacement for the palladium core. You are running out of both time and options. Unfortunately, the device that's keeping you alive is also killing you.
jarvis_0004|Miss Potts is approaching. I recommend that you inform her. Query complete, sir.|Miss Potts is approaching. I recommend that you inform her. Query complete, sir.
jarvis_0005|No further records exist. 1974 Stark Expo model scan completes her.|No further records exist. 1974 Stark Expo model scan completes her.
jarvis_0006|Am I to include the Belgian waffle stands? What is it you're trying to achieve, sir? The proposed element should serve as a viable replacement for palladium.|Am I to include the Belgian waffle stands? What is it you're trying to achieve, sir? The proposed element should serve as a viable replacement for palladium.
jarvis_0007|Unfortunately, it is impossible to synthesize. Initializing prismatic accelerator. Approaching maximum power. Congratulations. You have created a new element. Sir, the reactor has accepted the modified core.|Unfortunately, it is impossible to synthesize. Initializing prismatic accelerator. Approaching maximum power. Congratulations. You have created a new element. Sir, the reactor has accepted the modified core.
jarvis_0008|I will begin running diagnostics. Incoming call with a blocked number, sir. Sir. Accessing the Oracle grid.|I will begin running diagnostics. Incoming call with a blocked number, sir. Sir. Accessing the Oracle grid.
jarvis_0009|It's unbreachable. Sir, the Mark VII is not ready for deployment. Sir, we will lose power before we penetrate that shell. I wouldn't consider him a role model. I just did, sir.|It's unbreachable. Sir, the Mark VII is not ready for deployment. Sir, we will lose power before we penetrate that shell. I wouldn't consider him a role model. I just did, sir.
jarvis_0010|drawn from Shield, FBI and CIA intercepts.|drawn from Shield, FBI and CIA intercepts.
jarvis_0011|Initiating virtual crime scene reconstruction. The heat from the blast was in excess of 3,000 degrees Celsius. Any subjects within 12.5 yards were vaporized instantly. No, sir.|Initiating virtual crime scene reconstruction. The heat from the blast was in excess of 3,000 degrees Celsius. Any subjects within 12.5 yards were vaporized instantly. No, sir.
jarvis_0012|Not according to public record, sir. The Oracle Cloud has completed analysis.|Not according to public record, sir. The Oracle Cloud has completed analysis.
jarvis_0013|That's the emergency alert triggered by the power dropping below 5%. We are five miles outside of Rosehill, Tennessee.|That's the emergency alert triggered by the power dropping below 5%. We are five miles outside of Rosehill, Tennessee.
jarvis_0014|Will there be anything else? The clean slate protocol, sir? The central building is protected by some kind of energy shield.|Will there be anything else? The clean slate protocol, sir? The central building is protected by some kind of energy shield.
jarvis_0015|Strucker's technology is well beyond any other hydro base we've taken. Sir, the city is taking fire. There's a pathway below the North Tower. The wall to your left. I'm reading steel reinforcement.|Strucker's technology is well beyond any other hydro base we've taken. Sir, the city is taking fire. There's a pathway below the North Tower. The wall to your left. I'm reading steel reinforcement.
jarvis_0016|Approach factor is locked. The scepter is alien.|Approach factor is locked. The scepter is alien.
jarvis_0017|There are elements I can't quantify. The jewel appears to be a protective housing for something inside.|There are elements I can't quantify. The jewel appears to be a protective housing for something inside.
jarvis_0018|Something powerful. Like a computer. I believe I'm deciphering code. Doctor.|Something powerful. Like a computer. I believe I'm deciphering code. Doctor.
jarvis_0019|I suspect not for long. I'll continue to run variations on the interface, but you should probably prepare for your guests. I'll notify you if there are any developments. Enjoy yourself, sir. Hello. I am Jarvis. You are Outrum.|I suspect not for long. I'll continue to run variations on the interface, but you should probably prepare for your guests. I'll notify you if there are any developments. Enjoy yourself, sir. Hello. I am Jarvis. You are Outrum.
